country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,year,region
Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2015,Middle East and North Africa
Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2015,Middle East and North Africa
Bangladesh,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2015,South Asia
Iran,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,2015,Middle East and North Africa
Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,2015,Commonwealth of Independent States
Iraq,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,2015,Middle East and North Africa
South Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,2015,Sub-Saharan Africa
Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2015,Sub-Saharan Africa
Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2015,Sub-Saharan Africa
Liberia,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2015,Sub-Saharan Africa
India,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2015,South Asia
Sudan,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2015,NA
Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2015,Latin America and Caribbean
Congo (Kinshasa),4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,2015,NA
Nepal,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,2015,South Asia
Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2015,Sub-Saharan Africa
Sierra Leone,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,2015,Sub-Saharan Africa
Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2015,Sub-Saharan Africa
Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,2015,Sub-Saharan Africa
Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2015,NA
Armenia,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,2015,Commonwealth of Independent States
Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,2015,Sub-Saharan Africa
Myanmar,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,2015,Southeast Asia
Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,2015,Commonwealth of Independent States
Malawi,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2015,Sub-Saharan Africa
Sri Lanka,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,2015,South Asia
Cameroon,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,2015,Sub-Saharan Africa
Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,2015,Central and Eastern Europe
Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,2015,Middle East and North Africa
Yemen,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,2015,Middle East and North Africa
Angola,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,2015,NA
Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,2015,Sub-Saharan Africa
Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,2015,Sub-Saharan Africa
Comoros,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,2015,Sub-Saharan Africa
Uganda,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,2015,Sub-Saharan Africa
Senegal,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,2015,Sub-Saharan Africa
Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,2015,Sub-Saharan Africa
Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,2015,Sub-Saharan Africa
Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,2015,Southeast Asia
Tanzania,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,2015,Sub-Saharan Africa
Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,2015,Sub-Saharan Africa
Central African Republic,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,2015,NA
Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,2015,Sub-Saharan Africa
Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,2015,Sub-Saharan Africa
Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,2015,Sub-Saharan Africa
Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,2015,Sub-Saharan Africa
Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,2015,South Asia
